,,,Jamal Aljahmi,,Amer Zahr,,Robin Makled,,,
,,Absentee,45,8.27%,28,5.15%,105,19.30%,544,
,,Total,250,15.29%,120,7.34%,298,18.23%,1635,
1.6321E+12,"City Of Dearborn, Precinct 27",Early Voting,31,12.97%,21,8.79%,43,17.99%,239,
,,Election Day,110,16.11%,71,10.40%,120,17.57%,683,
,,Absentee,23,4.24%,34,6.27%,125,23.06%,542,
,,Total,164,11.20%,126,8.61%,288,19.67%,1464,
1.6321E+12,"City Of Dearborn, Precinct 28",Early Voting,26,10.70%,13,5.35%,38,15.64%,243,
,,Election Day,58,14.43%,36,8.96%,57,14.18%,402,
,,Absentee,18,6.38%,24,8.51%,60,21.28%,282,
,,Total,102,11.00%,73,7.87%,155,16.72%,927,
1.6321E+12,"City Of Dearborn, Precinct 29",Early Voting,19,10.16%,13,6.95%,30,16.04%,187,
,,Election Day,50,12.17%,42,10.22%,55,13.38%,411,
,,Absentee,19,6.96%,18,6.59%,50,18.32%,273,
,,Total,88,10.10%,73,8.38%,135,15.50%,871,
1.6321E+12,"City Of Dearborn, Precinct 30",Early Voting,23,13.45%,14,8.19%,27,15.79%,171,
,,Election Day,62,13.11%,53,11.21%,56,11.84%,473,
,,Absentee,20,8.26%,12,4.96%,29,11.98%,242,
,,Total,105,11.85%,79,8.92%,112,12.64%,886,
1.6321E+12,"City Of Dearborn, Precinct 31",Early Voting,46,18.78%,36,14.69%,35,14.29%,245,
,,Election Day,143,20.52%,174,24.96%,93,13.34%,697,
,,Absentee,61,9.98%,63,10.31%,114,18.66%,611,
,,Total,250,16.10%,273,17.58%,242,15.58%,1553,
1.6321E+12,"City Of Dearborn, Precinct 32",Early Voting,37,13.50%,32,11.68%,39,14.23%,274,
,,Election Day,150,20.75%,137,18.95%,111,15.35%,723,
,,Absentee,45,10.92%,40,9.71%,83,20.15%,412,
,,Total,232,16.47%,209,14.83%,233,16.54%,1409,
1.6321E+12,"City Of Dearborn, Precinct 33",Early Voting,32,13.17%,34,13.99%,40,16.46%,243,
,,Election Day,119,14.29%,176,21.13%,137,16.45%,833,
,,Absentee,11,2.86%,34,8.83%,67,17.40%,385,
,,Total,162,11.09%,244,16.70%,244,16.70%,1461,
1.6321E+12,"City Of Dearborn, Precinct 34",Early Voting,32,11.39%,20,7.12%,46,16.37%,281,
,,Election Day,84,12.33%,127,18.65%,115,16.89%,681,
,,Absentee,32,6.60%,27,5.57%,75,15.46%,485,
,,Total,148,10.23%,174,12.02%,236,16.31%,1447,
1.6321E+12,"City Of Dearborn, Precinct 35",Early Voting,28,13.59%,19,9.22%,38,18.45%,206,
,,Election Day,65,13.21%,75,15.24%,74,15.04%,492,
,,Absentee,13,3.10%,13,3.10%,115,27.38%,420,
,,Total,106,9.48%,107,9.57%,227,20.30%,1118,
1.6321E+12,"City Of Dearborn, Precinct 36",Early Voting,15,6.88%,10,4.59%,40,18.35%,218,
,,Election Day,54,9.28%,69,11.86%,86,14.78%,582,
,,Absentee,12,3.61%,9,2.71%,54,16.27%,332,
,,Total,81,7.16%,88,7.77%,180,15.90%,1132,
1.6321E+12,"City Of Dearborn, Precinct 37",Early Voting,41,12.28%,27,8.08%,45,13.47%,334,
,,Election Day,107,14.36%,111,14.90%,125,16.78%,745,
,,Absentee,27,5.30%,37,7.27%,91,17.88%,509,
,,Total,175,11.02%,175,11.02%,261,16.44%,1588,
1.6321E+12,"City Of Dearborn, Precinct 38",Early Voting,32,10.56%,36,11.88%,57,18.81%,303,
,,Election Day,87,11.90%,119,16.28%,96,13.13%,731,
,,Absentee,18,3.68%,25,5.11%,81,16.56%,489,
,,Total,137,9.00%,180,11.82%,234,15.36%,1523,
1.6321E+12,"City Of Dearborn, Precinct 40",Early Voting,35,17.59%,31,15.58%,25,12.56%,199,
,,Election Day,126,17.24%,188,25.72%,71,9.71%,731,
,,Absentee,31,9.60%,33,10.22%,55,17.03%,323,
,,Total,192,15.32%,252,20.11%,151,12.05%,1253,
1.6321E+12,"City Of Dearborn, Precinct 41",Early Voting,35,11.59%,24,7.95%,48,15.89%,302,
,,Election Day,90,12.24%,167,22.72%,111,15.10%,735,
,,Absentee,25,4.52%,36,6.51%,101,18.26%,553,
,,Total,150,9.43%,227,14.28%,260,16.35%,1590,
1.6321E+12,"City Of Dearborn, Precinct 42",Early Voting,24,10.48%,25,10.92%,38,16.59%,229,
,,Election Day,66,13.28%,93,18.71%,71,14.29%,497,
,,Absentee,24,5.07%,28,5.92%,75,15.86%,473,
,,Total,114,9.51%,146,12.18%,184,15.35%,1199,
1.6321E+12,"City Of Dearborn, Precinct 43",Early Voting,31,8.52%,20,5.49%,70,19.23%,364,
,,Election Day,106,16.11%,132,20.06%,101,15.35%,658,
,,Absentee,26,6.10%,24,5.63%,114,26.76%,426,
,,Total,163,11.26%,176,12.15%,285,19.68%,1448,
1.6321E+12,"City Of Dearborn, Precinct 44",Early Voting,33,8.57%,36,9.35%,101,26.23%,385,
,,Election Day,39,5.30%,89,12.09%,209,28.40%,736,
,,Absentee,20,3.92%,27,5.29%,162,31.76%,510,
,,Total,92,5.64%,152,9.32%,472,28.94%,1631,
1.6321E+12,"City Of Dearborn, Precinct 45",Early Voting,27,9.54%,23,8.13%,59,20.85%,283,
,,Election Day,82,10.10%,97,11.95%,141,17.36%,812,
,,Absentee,21,3.58%,32,5.46%,140,23.89%,586,
,,Total,130,7.73%,152,9.04%,340,20.23%,1681,
1.6321E+12,"City Of Dearborn, Precinct 46",Early Voting,31,13.36%,25,10.78%,47,20.26%,232,
,,Election Day,123,16.14%,51,6.69%,165,21.65%,762,
,,Absentee,25,4.40%,20,3.52%,151,26.58%,568,
,,Total,179,11.46%,96,6.15%,363,23.24%,1562,
1.6321E+12,"City Of Dearborn, Precinct 47",Early Voting,24,10.71%,16,7.14%,48,21.43%,224,
,,Election Day,63,10.31%,39,6.38%,99,16.20%,611,
,,Absentee,10,2.81%,9,2.53%,77,21.63%,356,
,,Total,97,8.14%,64,5.37%,224,18.81%,1191,
1.6321E+12,"City Of Dearborn, Precinct 48",Early Voting,14,8.24%,3,1.76%,27,15.88%,170,
,,Election Day,64,13.62%,44,9.36%,63,13.40%,470,
,,Absentee,14,3.87%,13,3.59%,69,19.06%,362,
,,Total,92,9.18%,60,5.99%,159,15.87%,1002,
1.6321E+12,"City Of Dearborn, Precinct 49",Early Voting,39,13.36%,14,4.79%,53,18.15%,292,
,,Election Day,95,14.53%,62,9.48%,78,11.93%,654,
,,Absentee,37,6.16%,15,2.50%,110,18.30%,601,
,,Total,171,11.05%,91,5.88%,241,15.58%,1547,
1.6321E+12,"City Of Dearborn, Precinct 50",Early Voting,28,10.77%,22,8.46%,49,18.85%,260,
,,Election Day,99,15.33%,70,10.84%,98,15.17%,646,
,,Absentee,24,5.13%,20,4.27%,110,23.50%,468,
,,Total,151,10.99%,112,8.15%,257,18.70%,1374,
,,,,,,,,,,
,,Total Early Voting,2553,24.53%,1064,10.22%,1432,13.76%,10409,
,,Total Election Day,9405,29.53%,5401,16.96%,3304,10.38%,31845,
,,Absentee,1638,10.27%,1169,7.33%,3051,19.13%,15952,
,,Total Votes,13606,23.54%,7634,13.21%,7787,13.47%,57808,
